region_name,municipality_name,installation_name,installation_code,process_name,process_code
Laurentides,Sainte-Thérèse,Station de purification - Ste-Thérèse (sta. pur.),X0008104,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Laval,Laval,Usine de filtration Chomedey (eau potable),X1300276,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Laval,Laval,Usine de filtration Pont-Viau (eau potable),X1300277,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Laval,Laval,Usine de filtration Sainte-Rose (eau potable),X1300278,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Mauricie,La Tuque,Station de purification La Tuque,X0010734,"Chloration
Ultraviolet","CHL
UB"
Mauricie,La Tuque,Station de purification Parent,X0009538,"Chloration
Filtration","CHL
FIL"
Mauricie,Lac-aux-Sables,Station de purification Lac-aux-Sables,X0009409,"Chloration
Ultraviolet","CHL
UB"
Mauricie,Saint-Tite,Station de purification Saint-Tite,X0008354,Chloration,CHL
Mauricie,Shawinigan,"Station de purification Grand-Mère Lac-des-Piles, Shawinigan",X0008261,Chloration,CHL
Mauricie,Shawinigan,"Système de production d'eau potable Shawinigan, Lac-à-la-Pêche",X0011550,Chloration,CHL
Mauricie,Trois-Rivières,Station de purification Trois-Rivières,X0008077,"Chloration
Filtration","CHL
FIL"
Montérégie,Acton Vale,Station de purification Acton Vale,X0008756,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Montérégie,Beauharnois,Station de purification Beauharnois - sta. purif. complète,X0009678,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Montérégie,Bedford,Station de purification - Ville de Bedford,X0008496,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,Bromont,Station de purification - Ville de Bromont,X0008690,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Montérégie,Candiac,Station de purification Ville de Candiac,X0008160,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Montérégie,Carignan,Station de purification Régie secteau Chambly-Richelieu-Marieville,18188581,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Montérégie,Carignan,Station de purification Carignan,X0008558,"Chloration
Filtration","CHL
FIL"
Montérégie,Châteauguay,Station de purification Ville de Châteauguay (poste chl.),X0010091,"Chloration
Ultraviolet","CHL
UB"
Montérégie,Contrecoeur,Station de purification Contrecoeur,X0010036,"Chloration
Filtration","CHL
FIL"
Montérégie,Coteau-du-Lac,Station de purification Coteau-du-Lac,X0010401,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Montérégie,Cowansville,Station de purification Cowansville (autre traitement),X0008328,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,Farnham,Station de purification - Ville de Farnham,X0008200,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,Granby,Station de purification Ville de Granby (station purification),X0009150,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,Henryville,Station purification de la Régie intermunicipale d'approv. eau potable Henryville-Venise,X1606342,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,Huntingdon,Station de purification Huntingdon - sta. purif. complète,X0009050,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,L'Île-Perrot,Station de purification - Ville de L' Île-perrot,X0009381,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Montérégie,La Prairie,Station de purification Ville de La Prairie,X0009097,"Chloration
Filtration
Ozonation
Ultraviolet","CHL
FIL
OZ
UB"
Montérégie,Lacolle,Station de purification Municipalité de Lacolle,X0008515,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,Les Coteaux,Station de purification Les Coteaux,X0010777,"Chloration
Filtration","CHL
FIL"
Montérégie,Longueuil,Station de purification Longueuil (local) - stat. purif.,X0008121,"Chloration
Filtration
Charbon
Ultraviolet","CHL
FIL
CHB
UB"
Montérégie,Longueuil,Station de purification Longueuil (régional),X0008120,"Chloration
Filtration
Charbon
Ultraviolet","CHL
FIL
CHB
UB"
Montérégie,Longueuil,Station de purification Longueuil (Saint-Lambert) - Usine Le Royer,X0008136,"Chloration
Filtration
Charbon
Ultraviolet","CHL
FIL
CHB
UB"
Montérégie,Notre-Dame-de-l'Île-Perrot,Station de purification Régie de l'eau de L'Ile-Perrot,X0010436,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Montérégie,Otterburn Park,Station de purification Regie i.e.v.r. Otterburn Park,X0010216,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Montérégie,Saint-Damase,Station de purification Municipalité de Saint-Damase (Montérégie),X0008846,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,Saint-Denis-sur-Richelieu,Station de purif. Régie intermunicipale d'aqueduc du Bas-Richelieu (Régie de l'A.I.B.R.),21761408,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Montérégie,Saint-Hyacinthe,Station de purification Ville de Saint-Hyacinthe,X0010032,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Montérégie,Saint-Jean-sur-Richelieu,Station de purification Ville de Saint-Jean-sur-Richelieu (rive est),X0008118,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,Saint-Jean-sur-Richelieu,Station de purification Ville de Saint-Jean-sur-Richelieu (rive ouest),X0008108,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Montérégie,Saint-Pie,Station de purification Ville de St-Pie (filtration),X2067353,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,Saint-Zotique,Station de purification Saint-Zotique poste,X0008177,"Chloration
Filtration
Charbon
Ultraviolet","CHL
FIL
CHB
UB"
Montérégie,Sainte-Barbe,Station de purification Ste-Barbe - trait. complet,X2135885,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Montérégie,Salaberry-de-Valleyfield,Station de purification Salaberry-Valleyfield - traitement complet,X0008095,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Montérégie,Sorel-Tracy,"Station de purification - Régie Intermunicipale de l'eau Tracy, St-Joseph et St-Roch",X0008816,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montérégie,Sorel-Tracy,Station de purification Ville de Sorel-Tracy (secteur Sorel),X1605245,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Montérégie,Sutton,Station de purification Sutton (canton) - aut.traitement,X0008505,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Montérégie,Varennes,Station de purification Régie S.E.V. Varennes,19050129,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Montérégie,Vaudreuil-Dorion,Station de purification Vaudreuil-Dorion (Vaudreuil-Dorion - station purif.),X0010764,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Montérégie,Verchères,Station de purification - Municipalité de Verchères (sta.pur.),X0008624,"Chloration
Filtration","CHL
FIL"
Montréal,Dorval,Station de purification Dorval (usine),X0008924,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Montréal,Montréal,Station de purification Lachine (usine 2),X0008090,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Montréal,Montréal,Station de purification Montréal (usine Atwater),X0008086,"Chloration
Filtration
Ozonation
Ultraviolet","CHL
FIL
OZ
UB"
Montréal,Montréal,Station de purification Montreal (usine Desbaillets),X0008085,"Chloration
Filtration
Ozonation
Ultraviolet","CHL
FIL
OZ
UB"
Montréal,Montréal,Station de purification Pierrefonds (usine),X0009132,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Montréal,Pointe-Claire,Station de purification Pointe-Claire (usine),X0008943,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Nord-du-Québec,Akulivik,Akulivik - Approvisionnement,X2114284,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Nord-du-Québec,Aupaluk,Aupaluk - Approv.,X2114286,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Nord-du-Québec,Chibougamau,Poste d'eau potable Chibougamau,X2114560,"Chloration
Ultraviolet","CHL
UB"
Nord-du-Québec,Gouvernement régional d'Eeyou Istchee Baie-James,Radisson (localité) - Approv.,X2114259,"Chloration
Filtration
Ozonation
Charbon
Ultraviolet","CHL
FIL
OZ
CHB
UB"
Nord-du-Québec,Inukjuak,Inukjuak - Approvisionnement,X2114289,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Nord-du-Québec,Ivujivik,Ivujivik - Approvisionnement,X2114279,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Nord-du-Québec,Kangiqsualujjuaq,Kangiqsualujjuaq - Approv.,X2114288,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Nord-du-Québec,Kangiqsujuaq,Kangiqsujuaq - Approvisionnement,X2114290,"Chloration
Ultraviolet","CHL
UB"
Nord-du-Québec,Kangirsuk,Kangirsuk - Approvisionnement,X2114293,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Nord-du-Québec,Kuujjuaq,Kuujjuaq - Approvisionnement,X2114283,Chloration,CHL
Nord-du-Québec,Lebel-sur-Quévillon,Lebel-sur-Quévillon - Approv.,X2114563,"Chloration
Filtration","CHL
FIL"
Nord-du-Québec,Matagami,Matagami - Approvisionnement,X2114243,"Chloration
Filtration","CHL
FIL"
Nord-du-Québec,Puvirnituq,Puvirnituq - Approvisionnement,X2114321,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Nord-du-Québec,Quaqtaq,Quaqtaq - Approvisionnement,X2114291,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Nord-du-Québec,Salluit,Salluit - Approvisionnement,X2114282,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Nord-du-Québec,Tasiujaq,Tasiujaq - Approvisionnement,X2114287,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Nord-du-Québec,Umiujaq,Umiujaq - Approvisionnement,X2114318,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Outaouais,Bryson,Station de purification Bryson (post.chl.),X0009407,Chloration,CHL
Outaouais,Fort-Coulonge,Station de purification Fort-Coulonge (post.chl.),X0009273,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Outaouais,Gatineau,Station de purification Aylmer (sta.pur.),X0008329,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Outaouais,Gatineau,Station de purification Buckingham (sta.pur.),X0008332,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Outaouais,Gatineau,Station de purification Gatineau (sta.pur.),X0008331,"Chloration
Filtration","CHL
FIL"
Outaouais,Gatineau,Station de purification Hull (sta.pur.),X0008330,"Chloration
Filtration","CHL
FIL"
Outaouais,Gracefield,Station de purification Gracefield (post.chl.),X0008146,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Outaouais,Montebello,Station de purification Montebello (post.chl.),X0009545,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Outaouais,Pontiac,Station de purification Pontiac (post.chl.),X0009983,Chloration,CHL
Outaouais,Portage-du-Fort,Station de purification Portage-du-Fort (post.chl.),X0009422,Chloration,CHL
Outaouais,Thurso,Station de purification Thurso (sta.pur.),X0008164,"Chloration
Filtration","CHL
FIL"
Saguenay—Lac-Saint-Jean,Alma,Station de purification Alma (usine de filtration),X0010053,"Chloration
Filtration","CHL
FIL"
Saguenay—Lac-Saint-Jean,Dolbeau-Mistassini,Poste d'eau potable du secteur Mistassini,X0010045,"Chloration
Filtration","CHL
FIL"
Saguenay—Lac-Saint-Jean,Dolbeau-Mistassini,Station de purification Dolbeau (stat. pur.),X0009850,"Chloration
Filtration","CHL
FIL"
Saguenay—Lac-Saint-Jean,Lac-Bouchette,Station d'approvisionnement Lac-Bouchette,X2105066,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Saguenay—Lac-Saint-Jean,Péribonka,Poste d'eau potable de Péribonka,X0009828,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Saguenay—Lac-Saint-Jean,Roberval,Station de purification Roberval (station purification),X0010100,"Chloration
Filtration","CHL
FIL"
Saguenay—Lac-Saint-Jean,Saguenay,Poste d'eau potable de Saguenay (Chicoutimi-Nord),X0010044,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Saguenay—Lac-Saint-Jean,Saguenay,Station de purification - Secteur Jonquière,X0009978,"Chloration
Filtration","CHL
FIL"
Saguenay—Lac-Saint-Jean,Saguenay,Station de purification Chicoutimi (sta. pur.),X0010043,"Chloration
Filtration","CHL
FIL"
Saguenay—Lac-Saint-Jean,Saguenay,Station de purification Jonquiere (secteur Arvida),X0009979,"Chloration
Filtration","CHL
FIL"
Saguenay—Lac-Saint-Jean,Saint-David-de-Falardeau,"Station de purification - Post chl. (Village alpin ""Le Valinouet"")",X0009613,Chloration,CHL
Saguenay—Lac-Saint-Jean,Saint-Nazaire,Poste d'eau potable de Saint-Nazaire de Chicoutimi,X0009588,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Saguenay—Lac-Saint-Jean,Sainte-Jeanne-d'Arc,Poste d'eau potable de Sainte-Jeanne-d'Arc,X0009834,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
